Symbol,ExchangeSymbol,StrategyTag,Segment,EXPIERY,CONTRAC TYPE,STRIKE,ProductType
SBIN,SBIN,PRO1,EQ,,,,MIS
RELIANCE,RELIANCE,PRO1,EQ,,,,MIS
HDFC,HDFC,PRO2,EQ,,,,MIS
HINDALCO,HINDALCO,PRO3,EQ,,,,MIS
DLF,DLF,PRO1,EQ,,,,MIS
ACC,ACC,PRO1,EQ,,,,MIS
DLF,DLF,PRO1,EQ,,,,MIS
NIFTY 31AUG2023 CE 19600,NIFTY,PRO1,OPTIDX,31AUG2023,CE,19600,MIS
DLF 31AUG2023 CE 480,DLF,PRO1,OPTSTK,31AUG2023,CE,480,MIS
DLF 31AUG2023,DLF,PRO1,FUTSTK,31AUG2023,,,MIS
NIFTY 31AUG2023,NIFTY,PRO1,FUTIDX,31AUG2023,,,MIS
